ID,SEX,AGE,WEIGHT (kg),HEIGHT (cm),BODY
1,1,64,62.6,166,Slim
2,1,63,60.7,176,Slim
3,1,29,79.4,177,Fat
4,1,43,49.1,167,Slim
5,1,34,79.8,168,Fat
6,1,22,92.4,172,Fat
7,0,51,61.3,151,Slim
8,0,61,69.5,155,Fat
9,1,26,71.6,178,Fat
10,0,65,97.7,145,Fat
11,0,38,95.4,158,Slim
12,0,41,68.2,150,Slim
13,0,31,49.8,159,Slim
14,0,68,52,162,Fat
15,0,41,82.3,153,Fat
16,1,41,66.3,175,Slim
17,0,54,66.4,169,Fat
18,1,59,92.9,167,Fat
19,1,70,77.7,171,Slim
20,1,32,45.4,176,Slim
21,1,62,54.7,167,Slim
22,1,54,53.7,170,Slim
23,0,26,66.3,155,Slim
24,1,25,71.5,169,Slim
25,0,28,79.2,153,Fat
26,1,27,45.8,183,Slim
27,1,45,67.7,174,Fat
28,0,48,48.9,151,Slim
29,1,68,69.7,169,Slim
30,1,66,92,172,Fat
31,1,58,48.6,170,Fat
32,1,31,95.7,173,Slim
33,0,34,74.2,153,Fat
34,1,24,72.5,180,Slim
35,1,49,82.5,164,Slim
36,0,30,95.7,151,Slim
37,1,39,87.7,165,Fat
38,0,43,73.2,164,Fat
39,1,64,47.3,164,Slim
40,1,57,76,178,Fat
41,1,58,92.9,176,Fat
42,1,19,74.6,161,Slim
43,1,42,83.4,167,Fat
44,1,66,61.1,172,Slim
45,0,37,80.5,154,Slim
46,0,70,61.4,162,Slim
47,0,21,68.9,157,Fat
48,0,45,78,152,Fat
49,1,34,76.9,167,Fat
50,1,28,79.5,163,Slim
51,1,21,58.2,176,Slim
52,0,66,100,162,Fat
53,0,29,90.1,160,Slim
54,1,33,72,172,Fat
55,1,66,93.3,170,Fat
56,0,39,59,156,Slim
57,1,35,59.7,172,Fat
58,1,37,77.1,169,Fat
59,0,58,95.8,156,Fat
60,1,51,75.3,169,Fat
61,0,62,99.8,155,Fat
62,0,60,60.1,162,Slim
63,1,43,64.4,177,Slim
64,1,44,52.9,169,Slim
65,1,42,92.1,158,Slim
66,0,26,45.1,157,Fat
67,0,23,90.1,169,Fat
68,1,34,48.1,162,Fat
69,0,41,85.4,154,Fat
70,1,32,66.7,165,Fat
71,1,61,81.2,172,Fat
72,0,70,76.2,154,Fat
73,1,52,52.9,174,Fat
74,0,61,71.7,159,Slim
75,1,56,45.3,175,Slim
76,1,67,87.1,165,Fat
77,1,38,60.2,172,Fat
78,0,23,90.5,166,Fat
79,0,21,56,156,Slim
80,0,26,63.6,151,Slim
81,0,45,77.7,152,Fat
82,0,19,70.8,147,Slim
83,1,20,75.6,175,Fat
84,0,63,90.8,160,Slim
85,1,56,56.8,167,Slim
86,1,38,56.1,177,Slim
87,1,35,49,167,Slim
88,1,52,61.8,179,Fat
89,0,52,47.5,157,Slim
90,0,52,89.2,154,Slim
91,0,60,78.3,155,Fat
92,0,51,84.5,163,Fat
93,0,44,71.3,167,Fat
94,1,52,66.1,165,Slim
95,0,42,49.4,162,Slim
96,1,39,64,172,Slim
97,1,54,54.9,169,Fat
98,0,64,73.2,142,Slim
99,0,65,51.5,160,Slim
100,0,59,48,161,Slim
101,1,63,45.2,170,Slim
102,0,44,81.4,157,Fat
103,0,42,73.3,153,Fat
104,0,61,55,164,Fat
105,0,65,92.3,162,Slim
106,1,53,99.8,160,Fat
107,1,40,83.1,165,Fat
108,0,63,84.4,159,Slim
109,0,26,97.1,158,Fat
110,1,59,83.7,170,Fat
111,1,39,66.2,173,Fat
112,0,35,75.7,157,Fat
113,0,62,64.9,160,Slim
114,1,32,74.4,167,Fat
115,0,42,55.4,158,Slim
116,0,48,65.9,150,Fat
117,0,57,65.7,161,Fat
118,0,24,65.8,163,Fat
119,1,23,54,176,Slim
120,0,53,88,158,Fat
121,1,57,79.5,169,Slim
122,0,67,92.6,167,Fat
123,0,31,54.6,150,Fat
124,0,26,58.5,163,Slim
125,1,25,82.4,169,Slim
126,1,19,75.2,177,Slim
127,0,43,95.9,151,Fat
128,1,58,81.5,164,Fat
129,1,51,78.8,170,Fat
130,0,56,45.7,162,Fat
131,0,47,67.9,156,Fat
132,1,22,74.7,170,Fat
133,1,54,94,183,Fat
134,1,49,80.2,177,Fat
135,1,55,86.3,177,Fat
136,1,41,94.7,176,Fat
137,1,43,91.3,176,Fat
138,1,45,97.3,176,Fat
139,1,53,96.4,174,Fat
140,0,58,85.3,154,Fat
